GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
IMC,com.example.util,BuildHelper,80,0,6,0,19,0,8,0,5,0
IMC,com.example,IMC,121,0,8,0,28,0,16,0,12,0
IMC,com.example,ClassificacaoIMC,90,0,12,0,23,0,16,0,10,0
IMC,com.example,Calculo,77,0,8,0,21,0,10,0,6,0
IMC,com.example,ImcApplication,8,0,0,0,3,0,2,0,2,0
IMC,com.example,HistoricoCalculos,121,0,10,0,28,0,16,0,11,0
IMC,com.example,Pessoa,149,0,18,0,40,0,25,0,16,0
IMC,com.example,Genero,77,0,3,0,15,0,7,0,5,0
IMC,com.example,ValidadorDados,120,0,40,0,22,0,28,0,8,0
IMC,com.example,HistoricoCalculos.RegistroCalculo,46,0,0,0,13,0,7,0,7,0
IMC,com.example.controller,ClassificacaoResponse,23,0,0,0,10,0,5,0,5,0
IMC,com.example.controller,ImcResponse,43,0,0,0,15,0,9,0,9,0
IMC,com.example.controller,ImcController,212,85,9,11,25,14,9,7,4,2
IMC,com.example.controller,ValidationResponse,23,0,0,0,8,0,5,0,5,0
